id,name,city,credit_limit
211,Paul Evans,Lisbon,2000
212,Karen Thomas,Riga,2000
213,Rosa Smith,Helsinki,1000
214,Carol Wilson,Oslo,5000
215,Rosa Mitchell,Brussels,5000
216,Uma Nelson,Copenhagen,5000
217,Zoe Smith,Berlin,2000
218,Hank Walker,Brussels,2000
219,Victor Scott,Lisbon,5000
220,Rosa King,Lisbon,5000
221,Xena Wright,Budapest,2000
222,Wendy Allen,Prague,2000
223,Iris Wilson,Madrid,1000
224,Karen Brown,Zurich,1000
225,Grace Evans,Copenhagen,2000
226,Xena Scott,Helsinki,10000
227,Jack Brown,Vienna,2000
228,Hank Lewis,Amsterdam,2000
229,Alice Nelson,Zurich,1000
230,Iris Jones,Paris,10000
231,Jack Nelson,Rome,5000
232,Dave Campbell,London,10000
233,Jack Young,Copenhagen,5000
234,Karen Davies,Paris,2000
235,Paul Brown,Berlin,5000
236,Paul Williams,Athens,500
237,Eve Taylor,Athens,2000
238,Carol Wilson,Madrid,10000
239,Yuki Hall,Riga,10000
240,Zoe Green,Brussels,10000
241,Maya Allen,Stockholm,2000
242,Sam Hall,Warsaw,10000
243,Tina Jones,Riga,500
244,Yuki Evans,Vienna,2000
245,Victor Williams,Amsterdam,1000
246,Frank Wright,Berlin,1000
247,Alice Hall,Stockholm,10000
248,Paul Roberts,Paris,1000
249,Jack Nelson,Warsaw,5000
250,Carol Adams,Brussels,2000
251,Zoe Perez,Athens,1000
252,Nick Brown,Zurich,1000
253,Uma Taylor,Prague,1000
254,Carol Jones,Amsterdam,2000
255,Tina Carter,Athens,2000
256,Olivia Brown,Stockholm,2000
257,Wendy Walker,Prague,10000
258,Rosa Young,Stockholm,500
259,Tina Jones,Oslo,2000
260,Tina Thomas,London,500
261,Hank Adams,Athens,10000
262,Alice Mitchell,Prague,10000
263,Bob Mitchell,Amsterdam,5000
264,Quinn Baker,Stockholm,2000
265,Frank Scott,Oslo,5000
266,Carol Young,Lisbon,5000
267,Karen Johnson,Madrid,1000
268,Karen Hall,Copenhagen,2000
269,Victor Walker,Zurich,500
270,Olivia Williams,Budapest,2000
271,Karen Brown,Dublin,10000
272,Alice Adams,Zurich,5000
273,Nick Jones,Vienna,10000
274,Leo Green,Copenhagen,5000
275,Yuki Jones,Vienna,2000
276,Rosa Taylor,Warsaw,5000
277,Wendy Young,Madrid,500
278,Uma Green,Brussels,1000
279,Jack Wright,London,10000
280,Nick Williams,Brussels,500
281,Olivia Brown,Rome,5000
282,Wendy Roberts,Helsinki,2000
283,Nick Turner,Copenhagen,5000
284,Hank Allen,Zurich,1000
285,Maya Evans,Riga,10000
286,Xena Taylor,Berlin,2000
287,Yuki Perez,Oslo,2000
288,Zoe King,Prague,500
289,Jack Carter,Warsaw,10000
290,Sam Adams,Copenhagen,1000
291,Olivia Wright,Copenhagen,2000
292,Karen Wright,Zurich,5000
293,Olivia Johnson,Vienna,1000
294,Sam Walker,Brussels,5000
295,Bob Johnson,Copenhagen,5000
296,Maya Adams,Rome,5000
297,Bob Taylor,Helsinki,10000
298,Karen Campbell,Madrid,5000
299,Dave King,Stockholm,500
300,Xena Taylor,Oslo,1000
301,Carol Young,Prague,2000
302,Tina Nelson,Dublin,500
303,Karen Campbell,Zurich,5000
304,Karen Baker,Copenhagen,10000
305,Bob Green,Berlin,1000
306,Uma Adams,Warsaw,1000
307,Xena Williams,Oslo,500
308,Yuki Baker,Madrid,5000
309,Frank Nelson,Warsaw,500
310,Bob Johnson,Paris,2000
311,Leo Lewis,Oslo,1000
312,Hank King,Oslo,10000
313,Victor Perez,Amsterdam,1000
314,Frank Williams,Riga,5000
315,Tina Adams,Brussels,5000
316,Sam Taylor,Brussels,5000
317,Uma Thomas,Stockholm,2000
318,Victor Smith,Stockholm,2000
319,Victor Wright,Amsterdam,500
320,Olivia Lewis,Athens,2000
321,Uma Hall,Prague,5000
322,Jack Evans,Dublin,5000
323,Dave Wilson,Dublin,10000
324,Leo Scott,Warsaw,2000
325,Alice Turner,Dublin,2000
326,Alice Scott,Paris,10000
327,Xena Young,Warsaw,1000
328,Tina Perez,Lisbon,1000
329,Uma Evans,Riga,2000
330,Victor Mitchell,Rome,500
331,Uma Baker,Paris,2000
332,Zoe Allen,Paris,10000
333,Leo Carter,Rome,500
334,Jack Johnson,Oslo,1000
335,Grace Taylor,Zurich,2000
336,Quinn King,Prague,1000
337,Iris Turner,Copenhagen,2000
338,Xena Campbell,Budapest,500
339,Olivia Williams,Rome,1000
340,Victor Carter,Dublin,10000
341,Leo Williams,Dublin,500
342,Iris Wright,Madrid,5000
343,Leo Adams,Prague,10000
344,Maya Turner,Lisbon,500
345,Victor Wilson,Copenhagen,500
346,Tina Wright,Budapest,10000
347,Hank Baker,Berlin,5000
348,Wendy Roberts,Oslo,500
349,Eve Jones,Paris,2000
350,Paul Brown,Madrid,1000
351,Rosa Taylor,Dublin,5000
352,Leo Adams,Zurich,5000
353,Sam Carter,Rome,5000
354,Uma Brown,Copenhagen,10000
355,Nick Thomas,Paris,2000
356,Grace Allen,Stockholm,1000
357,Leo Brown,Lisbon,10000
358,Uma Lewis,Paris,5000
359,Iris Evans,Madrid,5000
360,Carol Adams,Vienna,10000
361,Alice Jones,Budapest,1000
362,Eve Perez,Athens,1000
363,Carol Turner,Zurich,1000
364,Sam Evans,Brussels,2000
365,Yuki Taylor,Riga,500
366,Iris Campbell,Rome,1000
367,Rosa Thomas,Amsterdam,500
368,Victor Campbell,London,1000
369,Alice Lewis,Brussels,10000
370,Karen Smith,Amsterdam,2000
371,Bob Taylor,Oslo,10000
372,Dave Carter,Berlin,5000
373,Olivia Mitchell,Lisbon,10000
374,Sam Brown,Stockholm,10000
375,Hank Green,Paris,10000
376,Jack Allen,London,500
377,Paul Campbell,Dublin,5000
378,Victor Brown,Copenhagen,5000
379,Carol Williams,Budapest,10000
380,Eve Williams,Rome,2000
381,Tina Baker,Athens,10000
382,Wendy Johnson,Dublin,10000
383,Quinn Roberts,Stockholm,10000
384,Tina Hall,Madrid,500
385,Uma Baker,Zurich,1000
386,Nick Allen,Brussels,5000
387,Karen Turner,Stockholm,5000
388,Nick Carter,Madrid,2000
389,Nick Johnson,Prague,2000
390,Eve Adams,Copenhagen,500
391,Carol Turner,Berlin,500
392,Nick Brown,Lisbon,1000
393,Rosa Jones,Athens,10000
394,Rosa Johnson,Madrid,5000
395,Leo Campbell,Oslo,500
396,Jack Green,Warsaw,2000
397,Dave Scott,Helsinki,1000
398,Eve Adams,Copenhagen,1000
399,Dave Lewis,Zurich,2000
400,Dave Mitchell,Prague,10000
401,Hank Perez,Oslo,10000
402,Yuki Turner,Riga,10000
403,Victor Baker,Zurich,500
404,Tina Adams,Prague,500
405,Frank Thomas,Warsaw,2000
406,Leo Smith,Amsterdam,1000
407,Sam Adams,Dublin,500
408,Eve Carter,London,500
409,Xena King,Vienna,5000
410,Nick Allen,Budapest,1000
411,Leo Roberts,Budapest,10000
412,Tina Williams,Paris,1000
413,Frank Mitchell,Riga,500
414,Victor Williams,Prague,5000
415,Victor Hall,Copenhagen,10000
416,Olivia Hall,Prague,1000
417,Yuki King,Madrid,2000
418,Nick Brown,Warsaw,10000
419,Paul King,Warsaw,500
420,Hank Walker,Riga,500
421,Alice Evans,Warsaw,1000
422,Yuki Taylor,Prague,2000
423,Karen Brown,London,5000
424,Xena Hall,Amsterdam,1000
425,Maya Wright,Brussels,10000
426,Rosa Turner,Lisbon,500
427,Maya Campbell,Paris,5000
428,Alice Allen,Berlin,2000
429,Sam Hall,Athens,5000
430,Wendy Baker,Oslo,2000
431,Dave Walker,London,2000
432,Frank Perez,Riga,5000
433,Wendy Lewis,Berlin,5000
434,Dave Wilson,Oslo,10000
435,Maya King,Berlin,5000
436,Jack Carter,Budapest,1000
437,Karen Mitchell,Amsterdam,500
438,Quinn Baker,Madrid,10000
439,Quinn Evans,Lisbon,2000
440,Xena Turner,Rome,1000
441,Dave Taylor,Prague,1000
442,Frank Green,Rome,500
443,Frank Mitchell,Copenhagen,5000
444,Yuki Scott,Athens,5000
445,Victor Scott,Riga,2000
446,Uma Johnson,Rome,5000
447,Carol Young,Stockholm,2000
448,Zoe Thomas,Athens,500
449,Leo King,Berlin,2000
450,Olivia Allen,Paris,500
451,Leo Turner,Warsaw,500
452,Uma Campbell,Berlin,10000
453,Tina King,Dublin,5000
454,Sam Wright,Paris,5000
455,Zoe Scott,Vienna,2000
456,Tina Young,Helsinki,1000
457,Bob Allen,Madrid,2000
458,Wendy Williams,Helsinki,1000
459,Bob Wilson,Stockholm,5000
460,Quinn King,Riga,1000
461,Leo Lewis,Warsaw,5000
462,Nick Mitchell,Budapest,10000
463,Bob Perez,Budapest,500
464,Karen Brown,Zurich,5000
465,Jack Thomas,Riga,1000
466,Karen Williams,Athens,1000
467,Leo Roberts,Dublin,1000
468,Tina Nelson,Berlin,2000
469,Rosa Walker,Budapest,1000
470,Victor Nelson,Helsinki,500
471,Uma Adams,Oslo,10000
472,Leo Smith,Lisbon,2000
473,Frank Evans,Budapest,5000
474,Grace Wilson,Rome,1000
475,Carol Roberts,Madrid,10000
476,Yuki Wright,Helsinki,500
477,Victor Johnson,Riga,1000
478,Tina Walker,Rome,1000
479,Frank Turner,Riga,1000
480,Xena Allen,Paris,5000
481,Leo Adams,Brussels,5000
482,Tina Roberts,Stockholm,1000
483,Rosa Wilson,Warsaw,5000
484,Grace Lewis,Athens,5000
485,Olivia Mitchell,Warsaw,5000
486,Quinn King,Oslo,1000
487,Grace Perez,Riga,1000
488,Iris Jones,Copenhagen,2000
489,Rosa Brown,Helsinki,500
490,Jack Williams,Amsterdam,2000
491,Olivia King,Rome,5000
492,Carol Wilson,Stockholm,2000
493,Alice Hall,Paris,5000
494,Quinn Lewis,Brussels,5000
495,Carol Lewis,Brussels,500
496,Karen Brown,Budapest,1000
497,Eve Jones,Warsaw,5000
498,Wendy Turner,Rome,5000
499,Olivia Green,London,500
500,Alice Thomas,Vienna,1000
501,Rosa Carter,Riga,10000
502,Nick Brown,Warsaw,1000
503,Jack Brown,Paris,1000
504,Nick Baker,Riga,5000
505,Carol Brown,Copenhagen,10000
506,Rosa Smith,Helsinki,10000
507,Hank Nelson,Rome,2000
508,Nick Smith,Riga,2000
509,Hank Scott,Oslo,1000
510,Victor Adams,Berlin,10000
511,Leo Williams,Helsinki,10000
512,Quinn Perez,Helsinki,10000
513,Alice Walker,Copenhagen,500
514,Uma Walker,Lisbon,2000
515,Xena Smith,Lisbon,500
516,Leo Wilson,Madrid,10000
517,Xena Mitchell,Budapest,1000
518,Bob Lewis,Zurich,2000
519,Uma Davies,Stockholm,5000
520,Uma Davies,Rome,500
521,Wendy Mitchell,Stockholm,500
522,Jack Evans,Paris,1000
523,Bob Johnson,Warsaw,10000
524,Maya Turner,Zurich,5000
525,Iris Jones,Vienna,2000
526,Leo Campbell,Paris,2000
527,Iris Brown,Lisbon,5000
528,Maya Carter,Stockholm,5000
529,Karen Davies,Copenhagen,5000
530,Leo Perez,Helsinki,2000
531,Zoe Williams,Oslo,500
532,Nick Green,Amsterdam,10000
533,Jack Johnson,Madrid,500
534,Karen Adams,Warsaw,2000
535,Olivia Green,Oslo,1000
536,Wendy Allen,Lisbon,5000
537,Bob Carter,Lisbon,10000
538,Nick Thomas,Paris,500
539,Victor Baker,Dublin,2000
540,Quinn Perez,Amsterdam,500
541,Eve Campbell,Riga,5000
542,Bob Taylor,Berlin,1000
543,Yuki Baker,Lisbon,2000
544,Maya Scott,Paris,10000
545,Eve Adams,Stockholm,2000
546,Leo Allen,Berlin,10000
547,Eve King,Lisbon,5000
548,Karen Baker,Prague,1000
549,Dave Smith,Amsterdam,5000
550,Quinn Walker,Zurich,500
551,Iris Mitchell,Prague,5000
552,Grace Green,Warsaw,5000
553,Grace Brown,Rome,500
554,Olivia Davies,Stockholm,500
555,Zoe Adams,Budapest,2000
556,Wendy Williams,Zurich,10000
557,Jack Roberts,Amsterdam,1000
558,Zoe Lewis,Helsinki,1000
559,Dave Evans,Rome,1000
560,Zoe Young,London,2000
561,Rosa Scott,Lisbon,5000
562,Zoe Wright,Rome,10000
563,Carol Williams,Warsaw,5000
564,Wendy Carter,Copenhagen,10000
565,Nick Mitchell,Oslo,10000
566,Carol Taylor,Budapest,500
567,Olivia Allen,Helsinki,2000
568,Eve Turner,Zurich,10000
569,Frank Mitchell,Rome,5000
570,Quinn Campbell,Paris,500
571,Quinn Taylor,Warsaw,1000
572,Frank Johnson,Brussels,2000
573,Quinn Roberts,Berlin,2000
574,Grace Baker,Zurich,2000
575,Eve Baker,Warsaw,10000
576,Rosa Williams,Helsinki,1000
577,Sam Scott,Rome,1000
578,Victor Green,Riga,2000
579,Sam Jones,London,500
580,Bob Baker,Athens,2000
581,Uma Evans,Athens,5000
582,Tina Baker,London,5000
583,Uma Wright,Warsaw,2000
584,Paul Wilson,Dublin,2000
585,Olivia Williams,Paris,1000
586,Olivia Hall,Copenhagen,5000
587,Grace Johnson,Riga,1000
588,Karen Campbell,Budapest,2000
589,Maya Taylor,Lisbon,10000
590,Rosa Brown,Budapest,1000
591,Olivia Brown,Prague,5000
592,Hank Taylor,Madrid,500
593,Jack Walker,Riga,5000
594,Hank Campbell,Amsterdam,2000
595,Sam Carter,Budapest,1000
596,Yuki Davies,Copenhagen,10000
597,Olivia Young,Warsaw,5000
598,Alice Williams,Dublin,10000
599,Olivia Wilson,Vienna,10000
600,Leo Jones,Paris,2000
601,Paul Green,Copenhagen,2000
602,Rosa Smith,Madrid,5000
603,Eve Thomas,Lisbon,5000
604,Leo Jones,Dublin,500
605,Sam Wright,Vienna,2000
606,Rosa Roberts,Berlin,5000
607,Quinn Allen,Zurich,2000
608,Tina Adams,Riga,500
609,Eve Brown,Dublin,2000
610,Zoe Johnson,Zurich,2000
611,Yuki Taylor,Vienna,10000
612,Quinn Walker,Helsinki,500
613,Bob Jones,Rome,2000
614,Zoe Young,Helsinki,5000
615,Eve Green,Helsinki,1000
616,Karen Green,Budapest,1000
617,Maya Green,Warsaw,10000
618,Karen King,Helsinki,10000
619,Paul Nelson,Athens,2000
620,Paul Turner,London,2000
621,Karen Adams,Madrid,5000
622,Sam Roberts,London,10000
623,Paul Thomas,Athens,10000
624,Hank Carter,Paris,10000
625,Paul Davies,Helsinki,10000
626,Yuki Turner,Dublin,1000
627,Victor Wilson,Paris,10000
628,Wendy Brown,Vienna,500
629,Olivia Johnson,Oslo,1000
630,Nick Nelson,Vienna,5000
631,Quinn Mitchell,Riga,5000
632,Xena Carter,Paris,1000
633,Quinn Evans,Zurich,2000
634,Victor Young,Helsinki,5000
635,Karen Davies,Stockholm,10000
636,Karen Wright,Lisbon,2000
637,Tina Young,Vienna,1000
638,Iris Wright,Warsaw,1000
639,Jack Mitchell,Warsaw,1000
640,Wendy Nelson,Copenhagen,2000
641,Paul Lewis,Zurich,2000
642,Jack Brown,Athens,10000
643,Maya Walker,Lisbon,1000
644,Jack Jones,Warsaw,500
645,Leo Allen,Prague,5000
646,Grace Evans,Zurich,2000
647,Rosa Nelson,Prague,1000
648,Dave Green,Athens,1000
649,Hank Jones,Helsinki,1000
650,Uma Wilson,Paris,500
651,Nick Johnson,Copenhagen,500
652,Victor Mitchell,Rome,500
653,Rosa Davies,Oslo,5000
654,Paul Baker,Vienna,2000
655,Karen Roberts,Paris,500
656,Uma Scott,Brussels,10000
657,Xena Carter,Paris,1000
658,Nick Turner,Amsterdam,500
659,Maya Perez,Copenhagen,1000
660,Xena Campbell,Warsaw,500
661,Alice Roberts,Athens,10000
662,Dave Johnson,Warsaw,5000
663,Uma Wright,Helsinki,5000
664,Eve Campbell,Helsinki,5000
665,Iris Evans,Madrid,2000
666,Frank Carter,Stockholm,2000
667,Wendy Davies,London,2000
668,Zoe Roberts,Athens,1000
669,Frank Green,Dublin,5000
670,Quinn Johnson,Berlin,5000
671,Victor Brown,Amsterdam,1000
672,Paul Johnson,Brussels,500
673,Iris Walker,Brussels,5000
674,Yuki Thomas,Budapest,2000
675,Sam Carter,Athens,500
676,Iris Baker,Lisbon,1000
677,Bob Adams,Madrid,5000
678,Jack Davies,Dublin,10000
679,Wendy Mitchell,Warsaw,500
680,Uma Roberts,Lisbon,10000
681,Hank Wilson,Rome,5000
682,Eve Allen,Riga,2000
683,Nick Nelson,Zurich,5000
684,Yuki Wright,Vienna,1000
685,Victor Mitchell,Riga,500
686,Quinn Allen,Helsinki,2000
687,Carol Scott,Madrid,500
688,Rosa King,Vienna,10000
689,Rosa Taylor,Amsterdam,2000
690,Quinn Allen,Madrid,1000
691,Wendy Scott,Copenhagen,500
692,Quinn Allen,Paris,5000
693,Eve King,Oslo,5000
694,Sam Jones,Zurich,5000
695,Victor Perez,Warsaw,500
696,Maya Thomas,London,1000
697,Sam Williams,Paris,5000
698,Leo Nelson,Berlin,10000
699,Bob Williams,Copenhagen,500
700,Jack Hall,Amsterdam,1000
701,Yuki Baker,Oslo,2000
702,Maya Allen,Dublin,5000
703,Carol Adams,Zurich,1000
704,Uma Campbell,Lisbon,500
705,Frank Wright,Dublin,10000
706,Eve Carter,Brussels,500
707,Yuki Smith,Warsaw,5000
708,Victor Carter,Zurich,5000
709,Rosa Walker,Brussels,1000
710,Olivia Lewis,Rome,2000
711,Grace Carter,Madrid,500
712,Zoe Adams,Oslo,10000
713,Yuki Smith,Brussels,1000
714,Carol Brown,Riga,500
715,Olivia Green,Paris,1000
716,Xena Jones,Dublin,5000
717,Hank Wright,Vienna,500
718,Eve King,Warsaw,1000
719,Xena Scott,Budapest,10000
720,Tina Mitchell,Budapest,1000
721,Jack Taylor,Helsinki,1000
722,Nick Roberts,Prague,500
723,Rosa Scott,Amsterdam,5000
724,Rosa Young,Paris,2000
725,Uma Adams,Dublin,10000
726,Karen Nelson,Oslo,5000
727,Eve Roberts,Dublin,1000
728,Yuki Wright,Copenhagen,1000
729,Hank Roberts,Rome,5000
730,Bob Wright,Oslo,5000
731,Rosa King,Rome,5000
732,Hank Thomas,Vienna,2000
733,Uma Williams,Stockholm,2000
734,Carol Wright,Vienna,500
735,Iris Walker,Riga,10000
736,Bob Campbell,Berlin,1000
737,Zoe Mitchell,Athens,10000
738,Grace Young,Vienna,2000
739,Jack Smith,Vienna,1000
740,Xena Brown,Copenhagen,1000
741,Wendy Green,Vienna,5000
742,Hank Wright,Budapest,2000
743,Maya Allen,Zurich,2000
744,Jack Thomas,Lisbon,10000
745,Paul Allen,Madrid,5000
746,Yuki Turner,Budapest,1000
747,Leo Johnson,Oslo,500
748,Sam Campbell,Brussels,1000
749,Alice Thomas,Zurich,10000
750,Sam Carter,Oslo,2000
751,Eve Evans,Budapest,1000
752,Maya Scott,Brussels,5000
753,Rosa Baker,Budapest,2000
754,Yuki Turner,Copenhagen,5000
755,Olivia Davies,Lisbon,1000
756,Eve Carter,Zurich,5000
757,Frank Wright,Paris,10000
758,Bob Turner,Berlin,500
759,Yuki Smith,Oslo,1000
760,Uma Wilson,Berlin,1000
761,Alice Evans,Helsinki,5000
762,Leo Jones,Riga,10000
763,Paul Adams,Copenhagen,500
764,Alice Wright,Zurich,5000
765,Alice Smith,Helsinki,2000
766,Rosa Roberts,London,10000
767,Wendy Adams,Oslo,1000
768,Dave Brown,Helsinki,1000
769,Hank Evans,Riga,10000
770,Iris Turner,Lisbon,2000
771,Zoe Walker,Berlin,2000
772,Maya Allen,Athens,1000
773,Wendy Wilson,Warsaw,500
774,Uma Campbell,Paris,500
775,Maya Walker,Dublin,10000
776,Paul Jones,London,1000
777,Carol Young,Oslo,2000
778,Sam Campbell,Madrid,10000
779,Bob Wilson,Vienna,10000
780,Paul Thomas,Paris,500
781,Victor Thomas,Zurich,10000
782,Victor Jones,Amsterdam,2000
783,Alice Evans,Athens,1000
784,Yuki Turner,Dublin,500
785,Jack Davies,Athens,1000
786,Sam Turner,Dublin,10000
787,Karen Walker,Rome,500
788,Quinn Carter,Lisbon,500
789,Dave Hall,Brussels,500
790,Karen Green,Riga,10000
791,Maya Mitchell,Budapest,500
792,Uma Thomas,Stockholm,5000
793,Hank Lewis,Zurich,5000
794,Nick Davies,Athens,5000
795,Carol Mitchell,Riga,2000
796,Zoe Wilson,Berlin,500
797,Iris Taylor,Dublin,1000
798,Xena Walker,Budapest,2000
799,Dave Williams,London,2000
800,Olivia Lewis,Prague,500
801,Eve Williams,Amsterdam,5000
802,Olivia Wright,Zurich,10000
803,Nick Brown,London,500
804,Leo Wright,Berlin,10000
805,Tina Perez,Budapest,5000
806,Alice Roberts,Oslo,5000
807,Yuki Williams,Zurich,1000
